"TIME","Output Inverter Stage","Expected Output"
0,-1.2475,0.00449586
3.333333333e-005,-1.25012,0.001888
0.0002666666667,-1.26843,-0.0164362
0.0005333333333,-1.28935,-0.0373725
0.001066666667,-1.33121,-0.0792038
0.002133333333,-1.41454,-0.162538
0.004266666667,-1.57859,-0.326585
0.0076,-1.82196,-0.569947
0.01093333333,-2.04023,-0.788203
0.01426666667,-2.22384,-0.971814
0.0176,-2.36479,-1.11276
0.02093333333,-2.4569,-1.20487
0.02426666667,-2.49616,-1.24413
0.0276,-2.48084,-1.22881
0.03093333333,-2.41163,-1.1596
0.03426666667,-2.29153,-1.03951
0.0376,-2.12581,-0.873789
0.04093333333,-1.9217,-0.669684
0.04426666667,-1.68812,-0.436115
0.0476,-1.43528,-0.183289
0.05093333333,-1.17424,0.0777445
0.05426666667,-0.916404,0.335576
0.0576,-0.673035,0.578939
0.06093333333,-0.454773,0.797195
0.06426666667,-0.271156,0.980806
0.0676,-0.130211,1.12175
0.07093333333,-0.0380966,1.21386
0.07426666667,0.00116121,1.25312
0.0776,-0.0141535,1.23781
0.08093333333,-0.0833713,1.16859
0.08426666667,-0.203467,1.0485
0.0876,-0.369192,0.88278
0.09093333333,-0.573303,0.678676
0.09426666667,-0.80688,0.445106
0.0976,-1.05971,0.19228
0.1009333333,-1.32076,-0.0687528
0.1042666667,-1.57859,-0.326585
0.1076,-1.82196,-0.569947
0.1109333333,-2.04023,-0.788203
0.1142666667,-2.22384,-0.971814
0.1176,-2.36479,-1.11276
0.1209333333,-2.4569,-1.20487
0.1242666667,-2.49616,-1.24413
0.1276,-2.48084,-1.22881
0.1309333333,-2.41163,-1.1596
0.1342666667,-2.29153,-1.03951
0.1376,-2.12581,-0.873789
0.1409333333,-1.9217,-0.669684
0.1442666667,-1.68812,-0.436115
0.1476,-1.43528,-0.183289
0.1509333333,-1.17424,0.0777445
0.1542666667,-0.916404,0.335576
0.1576,-0.673035,0.578939
0.1609333333,-0.454773,0.797195
0.1642666667,-0.271156,0.980806
0.1676,-0.130211,1.12175
0.1709333333,-0.0380966,1.21386
0.1742666667,0.00116121,1.25312
0.1776,-0.0141535,1.23781
0.1809333333,-0.0833713,1.16859
0.1842666667,-0.203467,1.0485
0.1876,-0.369192,0.88278
0.1909333333,-0.573303,0.678676
0.1942666667,-0.80688,0.445106
0.1976,-1.05971,0.19228
0.2009333333,-1.32076,-0.0687528
0.2042666667,-1.57859,-0.326585
0.2076,-1.82196,-0.569947
0.2109333333,-2.04023,-0.788203
0.2142666667,-2.22384,-0.971814
0.2176,-2.36479,-1.11276
0.2209333333,-2.4569,-1.20487
0.2242666667,-2.49616,-1.24413
0.2276,-2.48084,-1.22881
0.2309333333,-2.41163,-1.1596
0.2342666667,-2.29153,-1.03951
0.2376,-2.12581,-0.873789
0.2409333333,-1.9217,-0.669684
0.2442666667,-1.68812,-0.436115
0.2476,-1.43528,-0.183289
0.2509333333,-1.17424,0.0777445
0.2542666667,-0.916404,0.335576
0.2576,-0.673035,0.578939
0.2609333333,-0.454773,0.797195
0.2642666667,-0.271156,0.980806
0.2676,-0.130211,1.12175
0.2709333333,-0.0380966,1.21386
0.2742666667,0.00116121,1.25312
0.2776,-0.0141535,1.23781
0.2809333333,-0.0833713,1.16859
0.2842666667,-0.203467,1.0485
0.2876,-0.369192,0.88278
0.2909333333,-0.573303,0.678676
0.2942666667,-0.80688,0.445106
0.2976,-1.05971,0.19228
0.3009333333,-1.32076,-0.0687528
0.3042666667,-1.57859,-0.326585
0.3076,-1.82196,-0.569947
0.3109333333,-2.04023,-0.788203
0.3142666667,-2.22384,-0.971814
0.3176,-2.36479,-1.11276
0.3209333333,-2.4569,-1.20487
0.3242666667,-2.49616,-1.24413
0.3276,-2.48084,-1.22881
0.3309333333,-2.41163,-1.1596
0.3342666667,-2.29153,-1.03951
0.3376,-2.12581,-0.873789
0.3409333333,-1.9217,-0.669684
0.3442666667,-1.68812,-0.436115
0.3476,-1.43528,-0.183289
0.3509333333,-1.17424,0.0777445
0.3542666667,-0.916404,0.335576
0.3576,-0.673035,0.578939
0.3609333333,-0.454773,0.797195
0.3642666667,-0.271156,0.980806
0.3676,-0.130211,1.12175
0.3709333333,-0.0380966,1.21386
0.3742666667,0.00116121,1.25312
0.3776,-0.0141535,1.23781
0.3809333333,-0.0833713,1.16859
0.3842666667,-0.203467,1.0485
0.3876,-0.369192,0.88278
0.3909333333,-0.573303,0.678676
0.3942666667,-0.80688,0.445106
0.3976,-1.05971,0.19228
0.4009333333,-1.32076,-0.0687528
0.4042666667,-1.57859,-0.326585
0.4076,-1.82196,-0.569947
0.4109333333,-2.04023,-0.788203
0.4142666667,-2.22384,-0.971814
0.4176,-2.36479,-1.11276
0.4209333333,-2.4569,-1.20487
0.4242666667,-2.49616,-1.24413
0.4276,-2.48084,-1.22881
0.4309333333,-2.41163,-1.1596
0.4342666667,-2.29153,-1.03951
0.4376,-2.12581,-0.873789
0.4409333333,-1.9217,-0.669684
0.4442666667,-1.68812,-0.436115
0.4476,-1.43528,-0.183289
0.4509333333,-1.17424,0.0777445
0.4542666667,-0.916404,0.335576
0.4576,-0.673035,0.578939
0.4609333333,-0.454773,0.797195
0.4642666667,-0.271156,0.980806
0.4676,-0.130211,1.12175
0.4709333333,-0.0380966,1.21386
0.4742666667,0.00116121,1.25312
0.4776,-0.0141535,1.23781
0.4809333333,-0.0833713,1.16859
0.4842666667,-0.203467,1.0485
0.4876,-0.369192,0.88278
0.4909333333,-0.573303,0.678676
0.4942666667,-0.80688,0.445106
0.4976,-1.05971,0.19228
0.5009333333,-1.32076,-0.0687528
0.5042666667,-1.57859,-0.326585
0.5076,-1.82196,-0.569947
0.5109333333,-2.04023,-0.788203
0.5142666667,-2.22384,-0.971814
0.5176,-2.36479,-1.11276
0.5209333333,-2.4569,-1.20487
0.5242666667,-2.49616,-1.24413
0.5276,-2.48084,-1.22881
0.5309333333,-2.41163,-1.1596
0.5342666667,-2.29153,-1.03951
0.5376,-2.12581,-0.873789
0.5409333333,-1.9217,-0.669684
0.5442666667,-1.68812,-0.436115
0.5476,-1.43528,-0.183289
0.5509333333,-1.17424,0.0777445
0.5542666667,-0.916404,0.335576
0.5576,-0.673035,0.578939
0.5609333333,-0.454773,0.797195
0.5642666667,-0.271156,0.980806
0.5676,-0.130211,1.12175
0.5709333333,-0.0380966,1.21386
0.5742666667,0.00116121,1.25312
0.5776,-0.0141535,1.23781
0.5809333333,-0.0833713,1.16859
0.5842666667,-0.203467,1.0485
0.5876,-0.369192,0.88278
0.5909333333,-0.573303,0.678676
0.5942666667,-0.80688,0.445106
0.5976,-1.05971,0.19228
0.6009333333,-1.32076,-0.0687528
0.6042666667,-1.57859,-0.326585
0.6076,-1.82196,-0.569947
0.6109333333,-2.04023,-0.788203
0.6142666667,-2.22384,-0.971814
0.6176,-2.36479,-1.11276
0.6209333333,-2.4569,-1.20487
0.6242666667,-2.49616,-1.24413
0.6276,-2.48084,-1.22881
0.6309333333,-2.41163,-1.1596
0.6342666667,-2.29153,-1.03951
0.6376,-2.12581,-0.873789
0.6409333333,-1.9217,-0.669684
0.6442666667,-1.68812,-0.436115
0.6476,-1.43528,-0.183289
0.6509333333,-1.17424,0.0777445
0.6542666667,-0.916404,0.335576
0.6576,-0.673035,0.578939
0.6609333333,-0.454773,0.797195
0.6642666667,-0.271156,0.980806
0.6676,-0.130211,1.12175
0.6709333333,-0.0380966,1.21386
0.6742666667,0.00116121,1.25312
0.6776,-0.0141535,1.23781
0.6809333333,-0.0833713,1.16859
0.6842666667,-0.203467,1.0485
0.6876,-0.369192,0.88278
0.6909333333,-0.573303,0.678676
0.6942666667,-0.80688,0.445106
0.6976,-1.05971,0.19228
0.7009333333,-1.32076,-0.0687528
0.7042666667,-1.57859,-0.326585
0.7076,-1.82196,-0.569947
0.7109333333,-2.04023,-0.788203
0.7142666667,-2.22384,-0.971814
0.7176,-2.36479,-1.11276
0.7209333333,-2.4569,-1.20487
0.7242666667,-2.49616,-1.24413
0.7276,-2.48084,-1.22881
0.7309333333,-2.41163,-1.1596
0.7342666667,-2.29153,-1.03951
0.7376,-2.12581,-0.873789
0.7409333333,-1.9217,-0.669684
0.7442666667,-1.68812,-0.436115
0.7476,-1.43528,-0.183289
0.7509333333,-1.17424,0.0777445
0.7542666667,-0.916404,0.335576
0.7576,-0.673035,0.578939
0.7609333333,-0.454773,0.797195
0.7642666667,-0.271156,0.980806
0.7676,-0.130211,1.12175
0.7709333333,-0.0380966,1.21386
0.7742666667,0.00116121,1.25312
0.7776,-0.0141535,1.23781
0.7809333333,-0.0833713,1.16859
0.7842666667,-0.203467,1.0485
0.7876,-0.369192,0.88278
0.7909333333,-0.573303,0.678676
0.7942666667,-0.80688,0.445106
0.7976,-1.05971,0.19228
0.8009333333,-1.32076,-0.0687528
0.8042666667,-1.57859,-0.326585
0.8076,-1.82196,-0.569947
0.8109333333,-2.04023,-0.788203
0.8142666667,-2.22384,-0.971814
0.8176,-2.36479,-1.11276
0.8209333333,-2.4569,-1.20487
0.8242666667,-2.49616,-1.24413
0.8276,-2.48084,-1.22881
0.8309333333,-2.41163,-1.1596
0.8342666667,-2.29153,-1.03951
0.8376,-2.12581,-0.873789
0.8409333333,-1.9217,-0.669684
0.8442666667,-1.68812,-0.436115
0.8476,-1.43528,-0.183289
0.8509333333,-1.17424,0.0777445
0.8542666667,-0.916404,0.335576
0.8576,-0.673035,0.578939
0.8609333333,-0.454773,0.797195
0.8642666667,-0.271156,0.980806
0.8676,-0.130211,1.12175
0.8709333333,-0.0380966,1.21386
0.8742666667,0.00116121,1.25312
0.8776,-0.0141535,1.23781
0.8809333333,-0.0833713,1.16859
0.8842666667,-0.203467,1.0485
0.8876,-0.369192,0.88278
0.8909333333,-0.573303,0.678676
0.8942666667,-0.80688,0.445106
0.8976,-1.05971,0.19228
0.9009333333,-1.32076,-0.0687528
0.9042666667,-1.57859,-0.326585
0.9076,-1.82196,-0.569947
0.9109333333,-2.04023,-0.788203
0.9142666667,-2.22384,-0.971814
0.9176,-2.36479,-1.11276
0.9209333333,-2.4569,-1.20487
0.9242666667,-2.49616,-1.24413
0.9276,-2.48084,-1.22881
0.9309333333,-2.41163,-1.1596
0.9342666667,-2.29153,-1.03951
0.9376,-2.12581,-0.873789
0.9409333333,-1.9217,-0.669684
0.9442666667,-1.68812,-0.436115
0.9476,-1.43528,-0.183289
0.9509333333,-1.17424,0.0777445
0.9542666667,-0.916404,0.335576
0.9576,-0.673035,0.578939
0.9609333333,-0.454773,0.797195
0.9642666667,-0.271156,0.980806
0.9676,-0.130211,1.12175
0.9709333333,-0.0380966,1.21386
0.9742666667,0.00116121,1.25312
0.9776,-0.0141535,1.23781
0.9809333333,-0.0833713,1.16859
0.9842666667,-0.203467,1.0485
0.9876,-0.369192,0.88278
0.9909333333,-0.573303,0.678676
0.9942666667,-0.80688,0.445106
0.9976,-1.05971,0.19228
1,-1.24749,0.004506
